cell	name	path
697	697	../LEF1_CutandRun/bigWigs/697_24hdex_lef1_AVE.BGnormalized.bw
SUPB15	supb15	../LEF1_CutandRun/bigWigs/SUPB15_24hdex_lef1_AVE.BGnormalized.bw
Nalm6	nalm6	../LEF1_CutandRun/bigWigs/nalm6_24hdex_lef1_AVE.BGnormalized.bw
RS411	rs411	../LEF1_CutandRun/bigWigs/RS411_24hdex_lef1_AVE.BGnormalized.bw
