cell	narrowpeak	bw1	bw2	bw3
697	../GR_LEF1_peaks/GR_cellandpdx_overlapping_GR_LEF1_upregulated_q05.bed	../LEF1_CutandRun/bigWigs/697_dmso_lef1_AVE.BGnormalized.bw	../GR_ChIP/bigWig/697_GRBD.bigWig	../ATAC/bigWigs/697_DEX1um_24hr_REP1.mLb.clN.bigWig
SUPB15	../GR_LEF1_peaks/GR_cellandpdx_overlapping_GR_LEF1_upregulated_q05.bed	../LEF1_CutandRun/bigWigs/SUPB15_dmso_lef1_AVE.BGnormalized.bw	../GR_ChIP/bigWig/SUPB15_GRBD.bigWig	../ATAC/bigWigs/3371375_SUPB15_DEX1um_24hr_n1_REP1.mLb.clN.bigWig
Nalm6	../GR_LEF1_peaks/GR_cellandpdx_overlapping_GR_LEF1_upregulated_q05.bed	../LEF1_CutandRun/bigWigs/nalm6_dmso_lef1_AVE.BGnormalized.bw	../GR_ChIP/bigWig/nalm6_GRBD.bigWig	../ATAC/bigWigs/3371351_NALM6_DEX1um_24hr_n1_REP1.mLb.clN.bigWig
RS411	../GR_LEF1_peaks/GR_cellandpdx_overlapping_GR_LEF1_upregulated_q05.bed	../LEF1_CutandRun/bigWigs/RS411_dmso_lef1_AVE.BGnormalized.bw	../GR_ChIP/bigWig/RS411_GRBD.bigWig	../ATAC/bigWigs/RS411_DEX1um_24hr_REP1.mLb.clN.bigWig
